,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
853,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0.0,0.0,0.0,111111,0.0,1.0,1,9.0,9,75,818,364,364,0.6,61.1,0.0,333333,0.0,0,0,0.0,5,0,627,0.7,1.67E+16,0.0,0,222222,6.66667E+15,1,0.0,0.0,0.0,2.2,0.0,0.0,0
854,6,14,4,0,3,1,0,13,2,0,2,2,0,31,4.5,2.5,3.5,70707,3333,1.2,5,21.0,99,1349,585,382,382,723,19011,9333,121212,214,0,0,562,1,0,853,627,3.33E+16,10101,2,262626,4.19628E+16,2,0.0,131313,3.0,325,141414,6.667E+15,2
855,9,15,12,0,7,1,0,20,5,0,9,5,3,30,1.5,1167,2.0,5298,857,1286,8,19625,151,1579,5.76E+15,297,297,652,58035,2132,15894,16,1,0,341,1,0,8.22E+15,853,253,6.623E+15,1,198675,3.96382E+16,3,4.6358E+16,1.39073E+16,1476,2904,165563,6.429E+15,2
856,5,11,6,0,1,2,0,7,1,0,0,1,5,26,1.0,1.2,1.2,8.2474E+15,0.4,1.4,7,14429,97,1169,627,415,415,752,4.9291E+16,1.5,9.2784E+15,444,0,0,3.93E+16,1,0,831,8.22E+15,3.51E+16,20619,3,257732,464934,3,20619,1.03093E+16,0.8,2745,1.95876E+16,3.0,2
857,1,1,1,0,0,0,0,3,1,0,0,0,2,7,0.0,0.0,0.0,1.81818E+16,0.0,1.0,1,23.0,22,1112,852,519,519,5.58E+15,33217,2.5667E+16,1.81818E+16,0.0,0,0,0.0,3,0,831,831,0.2,0.0,2,318182,227273,1,45455,45455,0.0,2867,136364,5.0,3
858,7,14,6,0,5,1,0,12,2,0,0,2,3,41,1.667E+16,1.667E+16,2.0,137405,1.667E+16,4.0,4,3375,131,1254,6.51E+15,401,401,7.96E+15,1.6318E+16,8.947E+15,68702,0.4,0,0,805,1,0,932,831,436,7.634E+16,1,274809,292478,1,7.634E+16,122137,2167,3014,122137,2.5,2
859,32,57,21,0,12,5,11,52,10,0,7,11,25,117,278,4.17E+16,833,86242,2.27E+16,1379,38,1.3316E+16,487,1194,455,321,321,845,5.3264E+16,18463,104723,322,0,0,392,1,1,8.86E+15,932,2.96E+16,1.0267E+16,25,308008,41625,13,8214,80082,503,2.777E+16,135524,2081,2
860,11,17,3,0,3,1,0,17,5,0,3,3,1,27,2.5,1.5,9.5,108527,2667,4.0,4,34.0,129,1123,642,4.32E+16,4.32E+16,754,24795,7056,116279,316,0,0,58,1,0,843,8.86E+15,3.93E+16,7.752E+15,0,271318,3.52203E+16,1,0.0,93023,9.0,2.776E+16,155039,12.0,2
861,12,10,5,0,4,3,0,18,5,0,1,1,2,20,0.2,0.0,0.0,28037,0.8,2667,7,1.5857E+16,108,1064,557,311,311,7.49E+15,71373,30625,102804,667,0,0,332,1,0,8.27E+15,843,2.69E+16,37383,3,261682,382605,2,0.0,149533,867,2569,8.4112E+15,6.667E+15,2
862,9,16,8,0,5,1,0,9,5,0,1,1,1,31,0.5,75,125,118182,0.5,1.2,5,22.8,110,1148,669,4.11E+16,4.11E+16,792,4.1111E+16,16529,136364,7.14E+15,0,0,523,1,0,8.06E+15,8.27E+15,366,9.091E+15,2,245455,36168,2,0.0,54545,1.0,2841,145455,5.0,2
863,6,4,1,0,0,2,0,8,1,0,0,0,3,8,1.333E+16,2.0,2333,75472,667,4.0,4,1425,53,111,6.61E+15,387,387,873,63575,57.5,37736,25,0,0,366,2,0,7.86E+15,8.06E+15,348,37736,2,3.39623E+16,250532,1,0.0,56604,1167,2469,75472,275,3
