,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
833,732,596,623,27,1111,81,108,1382,325,163,27,27,1707,2033,467,85,0.2,271,59,16,16,2375,380,885,524,792,114632,261,11243,446,8.9474E+15,153,352,81,664560754,7,0,0.0,365,687,7895,82,2.39474E+16,381579,1,596,92105,2.29E+16,1489,131579,4063,4
834,729,625,729,104,417,104,104,938,312,208,104,0.0,1458,2396,1.0,149,3.33E+16,521,833,4,4,2475,99,866,79,847,127786,136,1.3131E+16,684,111111,1696,625,0.0,636113806,2,1,285,3.46E+16,833,10101,20,313131,40404,1,1042,111111,1.67E+16,1.616E+16,10101,175,2
835,588,662,441,0.0,662,0.0,0.0,12.5,294,147,0.0,0.0,956,2941,0.3,5.4E+16,0.4,588,145,11,11,11727,129,1004,6.81E+15,821,95242,22,9468,4.17E+16,85271,1962,147,0.0,610997991,2,0,0.0,381,6.41E+15,0.0,30,310077,410853,1,294,3876,273,1736,85272,727,3
836,1053,1053,263,0.0,263,0.0,0.0,1316,526,263,0.0,0.0,526,1053,0.0,0.0,0.0,0.0,0.1,5,5,7.6,38,893,789,909,0.0,147,4.767E+16,5.71E+15,26316,1351,0.0,0.0,4.4582E+16,1,1,32,0.0,615,0.0,11,315789,473684,1,263,52632,0.1,1474,13158,1.4,1
837,0.0,11.9,476,0.0,714,0.0,0.0,1667,0.0,238,0.0,0.0,1429,1667,0.5,45,0.0,714,3.33E+16,3,3,14.0,42,6.56E+15,833,1.0,0.0,66,5.883E+15,214,47619,1943,476,0.0,1.40768E+16,2,0,0.0,499,7.86E+15,0.0,8,261905,3.57143E+16,1,714,1.19048E+16,0.0,1357,1.19049E+16,4.0,2
838,396,9.9,693,0.0,297,198,99,1188,891,99,99,0.0,891,2673,429,9,2.86E+16,891,214,8,8,12625,101,867,713,833,89163,177,7447,5.67E+15,9901,1665,396,99,47059691,2,0,0.0,3.39E+16,9.64E+15,9901,20,257426,326733,1,594,79208,179,1535,138614,125,3
839,678,593,763,0.0,1017,169,169,847,339,85,85,0.0,1441,2542,667,132,667,339,5.71E+15,7,7,17143,120,1047,664,779,96662,28,10176,529,108333,1.502E+16,254,0.0,598784257,3,0,0.0,285,606,16667,22,191666,3.08333E+16,1,424,91667,5.71E+15,1617,175.0,3.0,3
840,5.0,15.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,10.0,0.0,3,3,6.667E+15,20,5.87E+15,0.9,1.0,0.0,2.8E+16,294,0.0,50.0,1149,5.0,0.0,0.0,4,0,0.0,434,5.71E+15,0.0,6,300.0,350.0,1,10.0,100.0,0.0,135,100.0,1.0,0
841,217,3.8,707,0.0,489,163,163,1304,163,3.8,0.0,0.0,8.7,3315,5.38E+15,69,462,217,365,14,14,1.3143E+16,184,9.47E+15,614,775,10815,225,9.348E+15,491,1.03261E+16,1834,0.0,109,740008495,2,0,0.0,523,98,1.6304E+16,51,358695,36413,1,3.8,59783,341,1679,1.73913E+16,2.357E+16,2
842,484,161,323,0.0,161,161,0.0,968,484,484,0.0,0.0,968,2903,0.4,111,0.4,0.0,133,6,6,10.5,63,938,857,9.23E+15,0.0,1.64E+16,7.798E+15,4.38E+16,79365,1.658E+16,323,0.0,486744226,2,0,0.0,32,789,15873,18,31746,365079,1,806,95238,0.2,1635,2.06349E+16,1.0,2
